ovro_name,cgrabs_name,3FGL_name,Clean_3lac,3LAC,flux_int,n_flux,n_uplim
J1310+3220,J1310+3220,3FGL J1310.6+3222,Y,Y,6.067276,46,2
J1222+0413,J1222+0413,3FGL J1222.4+0414,Y,Y,7.500795,46,2
J0948+0022,J0948+0022,3FGL J0948.8+0021,Y,Y,11.81571,46,2
J0920+4441,J0920+4441,3FGL J0920.9+4442,Y,Y,10.505581,46,2
J0909+0121,J0909+0121,3FGL J0909.1+0121,Y,Y,9.610201,46,2
J0339-0146,J0339-0146,3FGL J0339.5-0146,Y,Y,7.889251,46,2
J0221+3556,J0221+3556,3FGL J0221.1+3556,Y,Y,9.267871,46,2
J0136+4751,J0136+4751,3FGL J0137.0+4752,Y,Y,8.345779,46,2
C2121+1901,,3FGL J2121.0+1901,Y,Y,3.037867,46,2
C2025-0735,,3FGL J2025.6-0736,Y,Y,12.652485,46,2
C1607+1551,,3FGL J1607.0+1551,Y,Y,3.639934,46,2
C1345+4452,,3FGL J1345.6+4453,Y,Y,11.424081,46,2
C1243+3627,,3FGL J1243.1+3627,Y,Y,1.191463,46,2
0502+675,,3FGL J0508.0+6736,Y,Y,0.778178,46,2
