,ovro_name,cgrabs_name,3FGL_name,Clean_3lac,3LAC,flux_int,n_flux,n_uplim,4FGL_name,4FGLDR2_RAJ2000,4FGLDR2_DEJ2000,4FGLDR2_ROI_num
40,C1253+5301,,3FGL J1253.2+5300,Y,Y,2.964163,48,0,4FGL J1253.2+5301 ,193.30670166015625,53.01729965209961,1219
41,C1037+5711,,3FGL J1037.5+5711,Y,Y,2.091269,48,0,4FGL J1037.7+5711 ,159.42919921875,57.19200134277344,1414
42,C0957+5522,,3FGL J0957.6+5523,Y,Y,8.995245,48,0,4FGL J0957.6+5523 ,149.41610717773438,55.3838005065918,1210
43,C0144+2705,,3FGL J0144.6+2705,Y,Y,6.049985,48,0,4FGL J0144.6+2705 ,26.15019989013672,27.08989906311035,1193
44,BLLacertae,,3FGL J2202.7+4217,Y,Y,27.895734,48,0,4FGL J2202.7+4216 ,330.6946105957031,42.282100677490234,405
45,BBJ1150+4154,,3FGL J1150.5+4155,Y,Y,1.114829,48,0,4FGL J1150.6+4154 ,177.6562957763672,41.90959930419922,840
46,BBJ0136+3905,,3FGL J0136.5+3905,Y,Y,2.907244,48,0,4FGL J0136.5+3906 ,24.14229965209961,39.099998474121094,294
47,3C66A,,3FGL J0222.6+4301,Y,Y,14.323865,48,0,4FGL J0222.6+4302 ,35.66960144042969,43.035701751708984,1168
48,NVSSJ000922+503028,,3FGL J0009.3+5030,Y,Y,2.834098,47,1,4FGL J0009.3+5030 ,2.34660005569458,50.51150131225586,1189
49,J1824+5651,J1824+5651,3FGL J1824.2+5649,Y,Y,5.679136,47,1,4FGL J1824.1+5651 ,276.039306640625,56.85850143432617,602
50,J1751+0939,J1751+0939,3FGL J1751.5+0939,Y,Y,5.309598,47,1,4FGL J1751.5+0938 ,267.8775939941406,9.645600318908691,1242
51,J1504+1029,J1504+1029,3FGL J1504.4+1029,Y,Y,39.456245,47,1,4FGL J1504.4+1029 ,226.10330200195312,10.49779987335205,764
52,J1136+7009,J1136+7009,3FGL J1136.6+7009,Y,Y,0.824624,47,1,4FGL J1136.4+7009 ,174.1219024658203,70.15370178222656,632
53,J1048+7143,J1048+7143,3FGL J1048.4+7144,Y,Y,6.1858,47,1,4FGL J1048.4+7143 ,162.10670471191406,71.72969818115234,632
54,J0915+2933,,3FGL J0915.8+2933,Y,Y,1.501642,47,1,4FGL J0915.9+2933 ,138.9862060546875,29.55299949645996,669
55,J0725+1425,J0725+1425,3FGL J0725.2+1425,Y,Y,11.245412,47,1,4FGL J0725.2+1425 ,111.3239974975586,14.421199798583984,868
56,J0607+4739,J0607+4739,3FGL J0607.4+4739,Y,Y,3.804001,47,1,4FGL J0607.4+4739 ,91.85710144042969,47.66350173950195,269
57,J0532+0732,J0532+0732,3FGL J0532.7+0732,Y,Y,10.80194,47,1,4FGL J0532.6+0732 ,83.1719970703125,7.549300193786621,692
58,J0423-0120,J0423-0120,3FGL J0423.2-0119,Y,Y,10.617475,47,1,4FGL J0423.3-0120 ,65.82599639892578,-1.3342000246047974,1237
59,FRBAJ2340+80,,3FGL J2340.7+8016,Y,Y,1.539183,47,1,4FGL J2340.8+8015 ,355.2084045410156,80.26000213623047,894
60,CR1542+6129,,3FGL J1542.9+6129,Y,Y,4.239084,47,1,4FGL J1543.0+6130 ,235.7550048828125,61.503299713134766,1191
